#{"t_start": 1638295899.3269672, "env_id": "AntBulletEnv-v0"}
r,l,t
489.612846,1000,23.419519
388.909324,1000,47.536051
423.974102,915,70.195445
407.604931,1000,94.108078
522.261938,1000,117.845071
438.732195,1000,140.61022
420.520539,1000,164.596768
550.384068,1000,188.248541
562.689712,1000,212.283464
540.357749,1000,236.378054
633.921455,1000,260.425479
596.18942,1000,284.35681
689.995446,1000,308.217837
740.141727,1000,331.653245
851.31425,1000,355.56387
855.21835,1000,379.315912
674.116591,1000,403.018517
996.793629,1000,421.642789
816.688303,1000,445.432568
1013.451115,1000,468.861356
1116.389383,1000,492.83392
1004.608029,1000,516.837909
1122.403613,1000,540.840654
1187.219838,1000,564.017102
1117.767792,1000,587.852392
1247.108316,1000,611.763328
1115.653166,1000,635.417423
1170.774733,1000,659.208783
1213.555225,1000,683.236211
1404.219336,1000,707.141649
1354.236986,1000,731.048581
1410.054842,1000,754.86419
1430.827649,1000,778.601206
1438.226871,1000,802.560946
1534.418365,1000,826.42716
1443.526349,1000,850.474019
1572.671146,1000,874.255237
1575.541848,1000,897.955375
1606.762397,1000,921.40677
1620.558596,1000,939.968741
1674.668471,1000,963.14822
1791.022302,1000,986.836366
1831.345029,1000,1010.533616
1690.062489,1000,1034.28536
1782.994977,1000,1057.850193
1730.745861,1000,1081.398533
1828.699322,1000,1105.043998
1930.23367,1000,1128.732521
1843.824758,1000,1152.36701
1955.44848,1000,1176.841284
1811.998325,1000,1200.497247
1960.510334,1000,1223.115016
1915.008051,1000,1246.139213
2029.490666,1000,1269.158086
2043.657295,1000,1292.854282
1950.82596,1000,1316.785308
2035.715862,1000,1339.972421
1994.441195,1000,1363.221272
1961.296433,1000,1386.579522
2065.195697,1000,1409.803615
2090.40255,1000,1427.605912
2101.995291,1000,1450.787116
2138.526533,1000,1473.880316
2090.55415,1000,1497.12957
2080.654249,1000,1520.254217
2162.740829,1000,1543.370176
2214.016187,1000,1566.292218
2161.680839,1000,1589.232877
2183.228205,1000,1612.128856
2176.959791,1000,1635.376939
2246.816194,1000,1658.506997
2211.618972,1000,1681.518913
2203.084712,1000,1704.796001
2246.119059,1000,1728.267619
2243.538038,1000,1751.685963
1832.239043,1000,1775.057159
2293.076317,1000,1798.449474
2166.420254,1000,1821.956336
2245.244009,1000,1845.609218
2408.269734,1000,1869.153059
2395.077801,1000,1892.368636
2427.94947,1000,1910.770973
2347.737437,1000,1934.342299
2329.397602,1000,1957.884116
2352.005234,1000,1980.633553
2492.124423,1000,2003.574554
2487.683394,1000,2026.45792
2529.622765,1000,2049.4976
2537.271789,1000,2071.46246
2467.522323,1000,2093.671726
2536.5326,1000,2116.266391
2508.802828,1000,2138.344642
2554.387385,1000,2161.184952
2475.540154,1000,2183.422636
2545.951835,1000,2205.93669
2471.645112,1000,2227.653621
2582.320825,1000,2249.79354
2554.754495,1000,2271.850029
2459.372252,1000,2294.661444
2664.487151,1000,2317.628053
2622.449103,1000,2340.510653
2619.624238,1000,2363.289134
2628.907911,1000,2386.121318
2549.62667,1000,2403.951411
2398.837392,1000,2426.724257
2763.350067,1000,2449.644403
2724.4159,1000,2472.346134
2704.609604,1000,2495.149037
2693.188373,1000,2518.254462
2758.743666,1000,2541.047653
2734.681008,1000,2563.801157
2501.746533,1000,2586.532185
2624.582072,1000,2609.581172
2623.295955,1000,2632.43482
2691.193529,1000,2655.760392
2838.148796,1000,2679.022316
2736.220233,1000,2701.895195
2768.716364,1000,2724.925216
2867.424464,1000,2747.92807
2687.093488,1000,2771.01312
2685.597785,1000,2794.059055
2847.348401,1000,2817.024459
2783.717019,1000,2838.812612
2951.389557,1000,2860.70097
2847.183086,1000,2878.367536
