#{"t_start": 1638295899.3325083, "env_id": "AntBulletEnv-v0"}
r,l,t
422.8415,1000,23.421906
473.714568,1000,47.538723
326.504557,1000,71.343972
412.923482,1000,95.277228
450.556452,1000,119.035946
469.18938,1000,141.816799
373.560241,1000,165.738877
542.040423,1000,189.490047
469.387532,1000,213.520458
611.221043,1000,237.557856
703.775701,1000,261.61613
631.294034,1000,285.559888
695.729862,1000,309.351295
795.9316,1000,332.837618
628.045814,1000,356.755165
837.389543,1000,380.473762
915.430948,1000,404.180024
981.186504,1000,427.828856
900.830199,1000,451.510887
847.085549,1000,474.991626
1101.464797,1000,499.060779
1099.315881,1000,518.03386
855.142236,1000,542.046887
1069.965246,1000,565.302784
967.540111,1000,589.01938
710.506596,1000,612.973529
1159.789379,1000,636.607141
1258.22884,1000,660.36846
1300.2895,1000,684.418729
1388.03012,1000,708.312253
1380.797181,1000,732.259094
1319.524968,1000,756.059123
1414.382703,1000,779.774334
828.066969,1000,803.755576
1525.294859,1000,827.584846
1403.671975,1000,851.695376
1596.060793,1000,875.422487
1571.522104,1000,899.14442
1661.308529,1000,922.559869
1723.94986,1000,945.512196
1730.389333,1000,969.305321
1740.035096,1000,993.033306
1698.732404,1000,1011.72382
1812.95247,1000,1035.464955
1725.875716,1000,1058.999333
1790.848156,1000,1082.599752
1854.110497,1000,1106.197013
1879.925108,1000,1129.892415
1726.311974,1000,1153.535243
1908.428092,1000,1178.053012
1899.003858,1000,1201.613055
1968.117488,1000,1224.203303
1958.669929,1000,1247.268223
1896.263982,1000,1270.35559
1887.766595,1000,1294.064918
1899.656274,1000,1317.902855
1992.514571,1000,1341.120589
1951.789617,1000,1364.334051
2104.773597,1000,1387.680168
2020.844087,1000,1410.884768
1956.290084,1000,1433.73448
2088.662811,1000,1456.927264
2136.028798,1000,1480.009535
2124.51833,1000,1498.234994
2075.303508,1000,1521.356807
2182.41377,1000,1544.501808
2099.214899,1000,1567.408003
2164.199424,1000,1590.366652
2172.689112,1000,1613.260898
2253.247642,1000,1636.525841
2193.021538,1000,1659.699514
2213.93743,1000,1682.611486
2191.345835,1000,1705.951579
2181.918882,1000,1729.391344
2393.006808,1000,1752.824255
2305.262477,1000,1776.175292
2337.453307,1000,1799.578445
2346.469438,1000,1823.112921
516.823589,1000,1846.784424
2388.299413,1000,1870.319917
2432.748025,1000,1893.513518
2289.482991,1000,1916.887887
2354.65179,1000,1940.551407
2476.093289,1000,1964.054743
2287.957463,1000,1986.659861
2376.949344,1000,2004.650923
2423.492453,1000,2027.577698
2481.523323,1000,2050.579123
2590.74812,1000,2072.531052
2568.326133,1000,2094.796239
2289.011535,1000,2117.405228
2529.073607,1000,2139.451687
2413.902413,1000,2162.245644
2516.426975,1000,2184.482926
2513.264764,1000,2206.995875
2530.127047,1000,2228.719563
2521.640201,1000,2250.887578
2631.478551,1000,2272.912721
2624.799443,1000,2295.738077
2683.835564,1000,2318.752887
2339.775542,1000,2341.594663
2323.601874,1000,2364.375199
2519.18608,1000,2387.194772
2636.353765,1000,2410.095887
2650.693013,1000,2432.864953
2598.250677,1000,2455.53348
2685.587993,1000,2473.454694
2713.468026,1000,2496.257267
2687.1172,1000,2519.345909
2758.204104,1000,2542.144998
2665.395437,1000,2564.877975
2682.459086,1000,2587.643
2721.77801,1000,2610.691262
2735.274253,1000,2633.54267
2708.560809,1000,2656.856571
2761.348977,1000,2680.10059
2785.832919,1000,2702.991657
2706.591965,1000,2726.024999
2739.018242,1000,2749.064854
2739.05128,1000,2772.089012
2737.348023,1000,2795.181996
2728.656724,1000,2818.097801
2745.512793,1000,2839.945369
2833.819578,1000,2861.772509
2851.749291,1000,2884.479611
